0
0
0
0
0
0
0
0
0
0
0,011476059
0,776796048
6,312861406
14,71068806
16,07464606
16,686341
18,05558816
20,22183811
22,24250472
26,84380693
28,6033392
29,23593626
31,75961851
33,6731136
37,35214202
38,04616135
40,50034665
40,17376932
42,92642612
42,3170548
42,09557879
41,83171071
41,64281969
41,84763473
41,7488153
47,23892192
41,23422967
40,47904594
40,34903995
39,77443389
40,12184167
38,55535622
38,61832537
37,16623668
36,68408001
36,50804324
35,65919073
35,51977784
34,48926233
35,12269372
33,46552353
32,6236209
34,45272107
33,45166725
33,58569496
32,86055317
33,68496118
32,08889125
31,81263256
29,53784221
30,15165909
28,7197497
27,62689704
26,56635298
25,6050388
24,90907309
23,34788435
22,33866741
22,37049079
20,81680576
20,0740984
19,11900473
18,73482699
17,57493954
17,12326992
16,07946673
15,4619292
15,00023919
14,38409561
13,88393136
13,14110226
13,2434424
12,7387283
14,08499386
11,48198192
11,32535803
10,97976495
10,62721923
10,50663763
10,08925146
9,93148291
9,603656357
9,599267712
9,427874725
9,258625664
9,477318193
9,297408872
9,447964505
9,480462744
11,05225756
9,153646765
9,191480447
9,012324514
8,79068289
8,465635687
8,141009237
7,848651958
7,554485112
7,003610636
7,00710599
6,674342126
6,617159696
6,246118411
6,483178956
5,953378442
5,261272925
7,118406197
6,702616651
7,114345371
7,533729703
8,757078373
9,464390867
10,70549852
11,24700621
13,7846969
14,48833984
15,76190149
16,42819323
17,50319397
17,72239197
16,96135501
15,9833185
16,70569843
14,50707955
13,24675038
11,63600329
10,45998814
8,666467349
7,419617215
5,943815833
5,107899878
4,081365649
3,375212897
2,774830816
2,305586351
1,928712739
1,641499218
1,515064029
1,270568357
1,08592404
0,995868903
0,875446418
0,878129742
0,795849907
0,768760835
0,69625242
0,712969624
0,653656305
0,637744271
0,603558882
0,580048151
0,571532499
0,552836664
0,584959071
0,482057234
0,460052597
0,442449642
0,442286755
0,442661905
0,411777776
0,422639669
0,377297818
0,383282404
0,381928568
0,375149442
0,340769278
0,343921369
0,347829937
0,313530355
0,310798336
0,338485449
0,306570852
0,29946904
0,279970442
0,281202544
0,260968727
0,240605637
0,236048608
0,248322978
0,230504672
0,227835065
0,219664037
0,207854664
0,197041465
0,192858905
0,19422337
0,187461049
0,181379076
0,174173017
0,172135064
0,161096566
0,165942667
0,174978187
0,168719609
0,174561885
0,176585439
0,186749496
0,194715802
0,220563506
0,222812359
0,26683912
0,324458429
0,315086505
0,34165194
0,370488167
0,410661231
0,435276152
0,471360273
0,49909231
0,523609843
0,546041412
0,541837593
0,534267014
0,551946098
0,547572534
0,554813569
0,504945214
0,548825213
0,42845519
0,413508125
0,388199139
0,338771434
0,315648889
0,28764663
0,257165087
0,230828721
0,20805012
0,190058298
0,171129624
0,158133072
0,160885667
0,149923298
0,129807446
0,129901063
0,128720743
0,117546794
0,139318591
0,126373822
0,134878845
0,124204868
0,132573759
0,124711699
0,134451914
0,114218097
0,116797176
0,1161062
0,10801816
0,113985258
0,089457095
0,086183951
0,085375011
0,07104897
0,065300312
0,064679287
0,057184837
0,056299768
0,047947684
0,040012584
0,035055378
0,032309642
0,02967501
0,022090032
